"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Total Performance Score","State Average Total Performance Score","National Average Total Performance Score","Payment Reduction Percentage"
"322550-US RENAL CARE CLOVIS DIALYSIS","322550","-","4024 N PRINCE STREET","CLOVIS","NM","88101","Network 15","74","71","64","0.0%"
"322551-ALBUQUERQUE WESTSIDE, LLC","322551","-","300 UNSER BLVD NW","ALBUQUERQUE","NM","87121","Network 15","69","71","64","0.0%"
"322552-SANDHILL DIALYSIS","322552","-","1300 ENTERPRISE RD","SOCORRO","NM","87801","Network 15","55","71","64","0.5%"
"322553-CLOVIS HIGH PLAINS","322553","-","121 TOWNSGATE PLAZA","CLOVIS","NM","88101","Network 15","68","71","64","0.0%"
"322554- SOLID ROCK DIALYSIS, LLC","322554","-","1580 HIGHWAY 264","GALLUP","NM","87301","Network 15","63","71","64","0.0%"
"322557-HOME DIALYSIS OF SANTA FE,LLC","322557","-","2904 RODEO PARK DRIVE EAST","SANTA FE","NM","87505","Network 15","80","71","64","0.0%"
"322558-Albuquerque Southwest Mesa","322558","-","8121 CENTRAL AVE NW","ALBUQUERQUE","NM","87121","Network 15","64","71","64","0.0%"
"322559-US Renal Care Las Cruces","322559","-","250 E AMADOR AVENUE","Las Cruces","NM","88001","Network 15","67","71","64","0.0%"
"322560-Fresenius Kidney Care Turquoise Trail","322560","-","5221 LAS SOLERAS DRIVE","Santa Fe","NM","87507","Network 15","95","71","64","0.0%"
"322562-Valley Home Dialysis","322562","-","3900 E LOHMAN","Las Cruces","NM","88011","Network 15","No Score","71","64","0.0%"
"462307 LOGAN REGIONAL HOSPITAL DIALYSIS CENTER","462307","460015","1400 N 550 E","LOGAN","UT","84341","Network 15","62","70","64","0.0%"
"462308 TOOELE VALLEY DIALYSIS CENTER","462308","460014","196 E 2000 N STE 112","TOOELE","UT","84074","Network 15","77","70","64","0.0%"
"462311 HEBER VALLEY DIALYSIS","462311","-","380 EAST 1500 SOUTH","HEBER CITY","UT","84032","Network 15","75","70","64","0.0%"
"462319 BLUE MOUNTAIN HOSPITAL DIALYSIS","462319","460056","802 S 200 W","BLANDING","UT","84511","Network 15","64","70","64","0.0%"
"462320 PRIMARY CHILDREN'S DIALYSIS CENTER","462320","-","81 NORTH MARIO CAPECCHI DR","SALT LAKE CITY","UT","84113","Network 15","72","70","64","0.0%"
"462500 FARMINGTON BAY DIALYSIS CENTER","462500","-","942 S MAIN ST","LAYTON","UT","84041","Network 15","73","70","64","0.0%"
"462503 KOLFF DIALYSIS CENTER/UNIV. OF UTAH","462503","-","423 WAKARA WAY","SALT LAKE CITY","UT","84108","Network 15","62","70","64","0.0%"
"462504 SRS-Provo, LLC","462504","-","1675 N FREEDOM BLVD STE 15","PROVO","UT","84604","Network 15","52","70","64","0.5%"
"462510 CASTLEVIEW DIALYSIS","462510","-","230 N HOSPITAL DR STE 1","PRICE","UT","84501","Network 15","71","70","64","0.0%"
"462511 DIXIE DIALYSIS CENTER","462511","-","720 S RIVER RD STE D1100","SAINT GEORGE","UT","84790","Network 15","74","70","64","0.0%"
"462518 SOUTH VALLEY DIALYSIS CENTER","462518","-","8750 S SANDY PKWY","SANDY","UT","84070","Network 15","63","70","64","0.0%"
"462519 BONNEVILLE DIALYSIS CENTER","462519","-","5575 S 500 E","OGDEN","UT","84405","Network 15","64","70","64","0.0%"
"462521 BOUNTIFULDIALYSIS","462521","-","532 S 500 W","BOUNTIFUL","UT","84010","Network 15","66","70","64","0.0%"
"462528 IRON MISSION DIALYSIS CENTER","462528","-","1277 N NORTHFIELD RD STE A100","CEDAR CITY","UT","84721","Network 15","81","70","64","0.0%"
"462529 OQUIRRH ARTIFICIAL KIDNEY CENTER","462529","-","5320 SOUTH 2700 WEST","TAYLORSVILLE","UT","84129","Network 15","67","70","64","0.0%"
"462530 FRESENIUS KIDNEY CARE WASATCH","462530","-","3702 SOUTH STATE STREET, SUITE 101","SALT LAKE CITY","UT","84115","Network 15","69","70","64","0.0%"
"462532 SOUTH MOUNTAIN DIALYSIS","462532","-","10969 S RIVERFRONT PKWY STE 100","SOUTH JORDAN","UT","84095","Network 15","81","70","64","0.0%"
"462533 WEST VALLEY DIALYSIS CLINIC","462533","-","3854 W 5400 S","TAYLORSVILLE","UT","84129","Network 15","66","70","64","0.0%"
"462534 SRS- AMERICAN FORK DIALYSIS CENTER","462534","-","1159 EAST 200 NORTH STE 150","American Fork","UT","84003","Network 15","46","70","64","1.0%"
"462536 HURRICANE DIALYSIS CENTER","462536","-","48 S 2500 W STE 100","HURRICANE","UT","84737","Network 15","76","70","64","0.0%"
"462537 LIBERTY DIALYSIS - LAYTON (FMC)","462537","-","2132 N 1700 W STE 120","LAYTON","UT","84041","Network 15","80","70","64","0.0%"
"462538 LIBERTY DIALYSIS - WOODSCROSS (FMC)","462538","-","572 W 750 S","BOUNTIFUL","UT","84010","Network 15","75","70","64","0.0%"
"462540 LIBERTY DIALYSIS - OGDEN (FMC)","462540","-","4780 OLD POST RD","OGDEN","UT","84403","Network 15","80","70","64","0.0%"
"462541 PLEASANT VIEW DIALYSIS CENTER","462541","-","2715 N HIGHWAY 89","OGDEN","UT","84414","Network 15","67","70","64","0.0%"
"462542 LIBERTY DIALYSIS - ST GEORGE (FMC)","462542","-","624 S 1000 E STE 101","SAINT GEORGE","UT","84790","Network 15","71","70","64","0.0%"
"462543 SRS- PAYSON, LLC","462543","-","15 S 1000 E STE 50","PAYSON","UT","84651","Network 15","50","70","64","0.5%"
"462544 MARK LINDSAY DIALYSIS CENTER","462544","-","1154 E COUNTRY HILLS DR","OGDEN","UT","84405","Network 15","77","70","64","0.0%"
"462545 LIBERTY DIALYSIS WEST JORDAN (FMC)","462545","-","3823 W 9000 S STE D","WEST JORDAN","UT","84088","Network 15","80","70","64","0.0%"
"462546 FMC-RIVERTON LLC","462546","-","12523 SOUTH CREEK MEADOW ROAD","RIVERTON","UT","84065","Network 15","82","70","64","0.0%"
"462547 LIBERTY DIALYSIS SOUTH OGDEN HOME","462547","-","475 EAST 40TH STREET","OGDEN","UT","84403","Network 15","79","70","64","0.0%"
"462548-FMC-CEDAR CITY","462548","-","1320 NORTH MAIN STREET","CEDAR CITY","UT","84721","Network 15","64","70","64","0.0%"
"462549-FRESENIUS KIDNEY CARE WEST SALT LAKE","462549","-","4101 WEST PIONEER PARKWAY","WEST VALLEY CITY","UT","84120","Network 15","83","70","64","0.0%"
"462550-Fresenius Kidney Care-Pleasant View","462550","-","1735 W 2700 N","Farr West","UT","84404","Network 15","87","70","64","0.0%"
"462552-FRESENIUS KIDNEY CARE UTAH VALLEY","462552","-","121 S OREM BLVD","OREM","UT","84058","Network 15","73","70","64","0.0%"
"462553-Bridge Dialysis","462553","-","1213 FLINT MEADOWS DR","Kaysville","UT","84037","Network 15","47","70","64","0.5%"
"463501 INTERMOUNTAIN MEDICAL CENTER DIALYSIS SERVICES","463501","-","74 WEST VINE STREET","Murray","UT","84107","Network 15","64","70","64","0.0%"
"463502 UTAH DIALYSIS LAB","463502","-","1000 S MAIN ST STE 105","SALT LAKE CITY","UT","84101","Network 15","82","70","64","0.0%"
"463504 SEVIER VALLEY DIALYSIS","463504","462302","1100 NORTH MAIN","RICHFIELD","UT","84701","Network 15","76","70","64","0.0%"
"463505 UINTAH BASIN MED CTR DIALYSIS - ROOSEVELT","463505","-","205 W 300 N #75-2","ROOSEVELT","UT","84066","Network 15","67","70","64","0.0%"
"463506 UINTAH BASIN MED CTR DIALYSIS- VERNAL","463506","-","224 E 500 S STE A","VERNAL","UT","84078","Network 15","30","70","64","1.5%"
"532304 MEM HOSP OF SWEETWATER COUNTY/DIALYSIS","532304","530011","1200 COLLEGE DR","ROCK SPRINGS","WY","82901","Network 15","71","72","64","0.0%"
"532305 CCMH DIALYSIS UNIT","532305","530002","501 S BURMA","Gillette","WY","82716","Network 15","68","72","64","0.0%"
"532306 IVINSON MEMORIAL HOSP - DIALYSIS CENTER","532306","530025","255 N 30TH ST","LARAMIE","WY","82072","Network 15","66","72","64","0.0%"
"532501 CHEYENNE DIALYSIS (FMC)","532501","-","1739 MEADOWLAND DR","CHEYENNE","WY","82009","Network 15","77","72","64","0.0%"
"532503 WIND RIVER DIALYSIS CENTER","532503","-","11 SHIPTON LN","FORT WASHAKIE","WY","82514","Network 15","60","72","64","0.0%"
"532504 WYOMING KIDNEY CENTER (USRC)","532504","-","1141 WILKINS CIR","CASPER","WY","82601","Network 15","54","72","64","0.5%"
"532505 BIG HORN BASIN REGIONAL DIALYSIS (DCI)","532505","-","424 YELLOWSTONE AVE, STE 150","CODY","WY","82414","Network 15","83","72","64","0.0%"
"532506 Watt Dialysis Center LLC","532506","-","1401 WEST 5TH ST","SHERIDAN","WY","82801","Network 15","84","72","64","0.0%"
"532507-US Renal Care-Casper Dialysis","532507","-","1300 VENTURE WAY, SUITE 100","CASPER","WY","82609","Network 15","76","72","64","0.0%"
"533501 EVANSTON REGIONAL HOSPITAL/DIALYSIS","533501","532307","112 YELLOWCREEK RD","EVANSTON","WY","82930","Network 15","83","72","64","0.0%"
"ADIRONDACK MEDICAL CENTER ESRD","332404","330079","2233 STATE ROUTE 86","SARANAC LAKE","NY","12983","Network 2","83","61","64","0.0%"
"Advanced Dialysis Center","552501","-","3932 DOWNING AVENUE","Baldwin Park","CA","91706","Network 18","47","65","64","0.5%"
"Advanced Dialysis Center-Crofton","212741","-","2131 DAVIDSONVILLE RD","CROFTON","MD","21114","Network 5","67","66","64","0.0%"
"ADVANCED DIALYSIS CENTER - EASTON","212649","-","610 E DUTCHMANS LN","EASTON","MD","21601","Network 5","69","66","64","0.0%"
"ADVANCED DIALYSIS CENTER - ROCKVILLE","212656","-","299 HURLEY AVE","ROCKVILLE","MD","20850","Network 5","67","66","64","0.0%"
"AFFILIATED DIALYSIS OF JOLIET","142773","-","1352 HOUBOLT RD","JOLIET","IL","60431","Network 10","No Score","64","64","0.0%"
"AFFILIATED DIALYSIS OF MORRIS","142814","-","1401 LAKEWOOD DRIVE","MORRIS","IL","60450","Network 10","36","64","64","1.5%"
"Affiliated Dialysis of Ohio - Beachwood","362842","-","9555 ROCKSIDE ROAD","Valley View","OH","44125","Network 9","21","61","64","2.0%"
"Alaris Health at Chateau","312701","-","96 PARKWAY","Rochelle Park","NJ","07662","Network 3","40","66","64","1.0%"
"Alaris Health at Essex","312676","-","155-40TH STREET","IRVINGTON","NJ","07111","Network 3","19","66","64","2.0%"
"ALASKA DIALYSIS - Laurel Street","022500","-","3950 LAUREL STREET","ANCHORAGE","AK","99508","Network 16","65","75","64","0.0%"
"ALBANY MEDICAL CENTER","332306","330013","43 NEW SCOTLAND AVENUE","ALBANY","NY","12208","Network 2","No Score","61","64","0.0%"
"ALBERT EINSTEIN MEDICAL CENTER","392338","390142","5501 OLD YORK ROAD","Philadelphia","PA","19141","Network 4","65","64","64","0.0%"
"Albuquerque Home","322563","-","4333 PAN AMERICAN FREEWAY NE","Albuquerque","NM","87107","Network 15","59","71","64","0.0%"
"ALEXANDRIA KIDNEY CENTER","492505","-","4141 DUKE STREET","ALEXANDRIA","VA","22304","Network 5","88","66","64","0.0%"
"ALFRED I. DUPONT HOSPITAL FOR CHILDREN DIALYSIS CENTER","082302","083300","1600 ROCKLAND ROAD","Wilmington","DE","19899","Network 4","No Score","67","64","0.0%"
"ALTRU DIALYSIS SAT AT MERCY HOSP","353506","-","1031 7TH ST NE","DEVILS LAKE","ND","58301","Network 11","74","67","64","0.0%"
"ALTRU HEALTH SYSTEM RENAL DIALYSIS AT LIFECARE","243540","-","711 DELMORE DR","ROSEAU","MN","56751","Network 11","88","71","64","0.0%"
"ALTRU HEALTH SYSTEM RENAL DIALYSIS CROOKSTON","243541","-","400 S MINNESOTA ST","CROOKSTON","MN","56716","Network 11","69","71","64","0.0%"
"ALTRU HOSPITAL","352302","350019","1200 S COLUMBIA RD","GRAND FORKS","ND","58201","Network 11","65","67","64","0.0%"
"ALVIN DIALYSIS CENTER","452772","-","2625 S LOOP 35 STE 154","ALVIN","TX","77511","Network 14","59","63","64","0.0%"
"Alvin Dialysis Renal","742537","-","100 E HOUSE ST","ALVIN","TX","77511","Network 14","38","63","64","1.0%"
"AMERICAN HOME DIALYSIS","182612","-","721 SOUTH PRESTON STREET","LOUISVILLE","KY","40202","Network 9","56","68","64","0.5%"
"American Kidney Center","152693","-","419 CLIFTY DRIVE","MADISON","IN","47250","Network 9","76","64","64","0.0%"
"American Kidney Center- Browns Lane","182653","-","4114 BROWNS LANE","Louisville","KY","40220","Network 9","No Score","68","64","0.0%"
"American River Dialysis","752534","-","5238 MANZANITA AVE","Carmichael","CA","95608","Network 17","70","65","64","0.0%"
"AMERICAN UNIVERSAL - HOCKESSIN","082523","-","5936 LIMESTONE ROAD, SUITE 101","Hockessin","DE","19707","Network 4","52","67","64","0.5%"
"AMERICAN UNIVERSAL LLC","082522","-","1415 PULASKI HIGHWAY, SUITE B","Newark","DE","19702","Network 4","67","67","64","0.0%"
"AMERICARE RENAL CENTER","682507","-","2601 SOUTHWEST 37 AVE #138","MIAMI","FL","33133","Network 7","45","57","64","1.0%"
"AMERI-TECH KIDNEY CENTER-ARLINGTON LLC","452618","-","1138 S BOWEN ROAD","ARLINGTON","TX","76013","Network 14","48","63","64","0.5%"
"AMERI-TECH KIDNEY CENTER-BEDFORD LLC","452655","-","1600 CENTRAL DRIVE","BEDFORD","TX","76022","Network 14","63","63","64","0.0%"
"Androscoggin Kidney Center","202506","-","1100 MINOT AVENUE","AUBURN","ME","04210","Network 1","74","72","64","0.0%"
"ANGEL CARE CENTER LLC","142820","-","3405 OFFICE PARK DRIVE","MARION","IL","62959","Network 10","49","64","64","0.5%"
"ANGELO KIDNEY CONNECTION","672594","-","2901 SHERWOOD WAY, SUITE 100","SAN ANGELO","TX","76901","Network 14","50","63","64","0.5%"
"Angelo Kidney Connection Home Therapies PLLC","742570","-","3626 50TH ST","Lubbock","TX","79413","Network 14","46","63","64","1.0%"
"Antelope Valley Kidney Institute","552593","-","43932 15TH STREET, SUITE 103","Lancaster","CA","93534","Network 18","64","65","64","0.0%"
"ANTHEM DIALYSIS","372612","-","4301 NW 63RD STREET","OKLAHOMA CITY","OK","73116","Network 13","54","66","64","0.5%"
"APOLLO RENAL CENTER MIAMI LLC","682611","-","955 NW 3RD ST","MIAMI","FL","33128","Network 7","38","57","64","1.0%"
"APOPKA ARTIFICIAL KIDNEY CENTER","102592","-","1065 W ORANGE BLOSSOM TRL","APOPKA","FL","32712","Network 7","54","57","64","0.5%"
"Aqua Dialysis Fort Bend LLC","672643","-","12220 MURPHY RD STE R","STAFFORD","TX","77477","Network 14","25","63","64","2.0%"
"aQua Dialysis Livingston LLC","452661","-","209 WEST PARK DRIVE","LIVINGSTON","TX","77351","Network 14","38","63","64","1.0%"
"aQua Dialysis Lufkin LLC","452639","-","700 S JOHN REDDITT DR","LUFKIN","TX","75904","Network 14","46","63","64","1.0%"
"AquaNova, Inc.","682601","-","18004 NW 6TH STREET","PEMBROKE PINES","FL","33029","Network 7","No Score","57","64","0.0%"
"ARA - ADELPHI","212622","-","1801 METZEROTT RD","ADELPHI","MD","20783","Network 5","52","66","64","0.5%"
"ARA AUGUSTA LLC","112722","-","1000 TELFAIR ST","AUGUSTA","GA","30901","Network 6","47","59","64","0.5%"
"ARA - BOCA RATON DIALYSIS LLC","102774","-","1905 CLINT MOORE RD STE 211","BOCA RATON","FL","33496","Network 7","41","57","64","1.0%"
"ARA - CENTRAL KITTANNING DIALYSIS CENTER, LLC","392554","-","ONE NOLTE DRIVE","Kittanning","PA","16201","Network 4","70","64","64","0.0%"
"ARA CLIFTON DIALYSIS CENTER","312663","-","251 CLIFTON AVENUE","CLIFTON","NJ","07011","Network 3","82","66","64","0.0%"
"ARA COLLINS ROAD DIALYSIS CENTER","682613","-","6196 LAKE GRAY BLVD","JACKSONVILLE","FL","32244","Network 7","66","57","64","0.0%"
"ARA - CRYSTAL LAKE DIALYSIS CENTER","142664","-","6298 NORTHWEST HWY., SUITE 300","CRYSTAL LAKE","IL","60014","Network 10","74","64","64","0.0%"
"ARA DIALYSIS AT EAST ORANGE","312690","-","20 SUSSEX AVE","EAST ORANGE","NJ","07018","Network 3","72","66","64","0.0%"
"ARA Dialysis Center at West Orange","312630","-","101 OLD SHORTS HILLS ROAD STE 120","WEST ORANGE","NJ","07052","Network 3","82","66","64","0.0%"
"ARA - DIALYSIS UNIT AT OHIO VALLEY HOSPITAL LLC","392759","-","MEDICAL ARTS BUILDING","McKees Rocks","PA","15136","Network 4","72","64","64","0.0%"
"ARA Dunn Avenue Dialysis","682753","-","3000 DUNN AVENUE","Jacksonville","FL","32218","Network 7","No Score","57","64","0.0%"
"ARA Garden State Kidney Center","312647","-","345 MAIN STREET","WOODBRIDGE","NJ","07095","Network 3","57","66","64","0.0%"
"ARA Great Falls Dialysis, LLC","312627","-","498 EAST 30TH STREET","PATERSON","NJ","07504","Network 3","91","66","64","0.0%"
"ARA-HOLYOKE DIALYSIS LLC","222595","-","36 LOWER WESTFIELD RD UNIT C-153","HOLYOKE","MA","01040","Network 1","30","63","64","1.5%"
"ARA - LAWTON DIALYSIS","372523","-","EISENHOWER SQUARE","LAWTON","OK","73505","Network 13","56","66","64","0.5%"
"ARA - LAWTON DIALYSIS EAST","372557","-","4516 SE LEE BLVD STE 108","LAWTON","OK","73501","Network 13","50","66","64","0.5%"
"ARA-Ludlow Dialysis, LLC","222580","-","14 CHESTNUT PLACE, SUITE B","LUDLOW","MA","01056","Network 1","51","63","64","0.5%"
"ARA - MCHENRY DIALYSIS CENTER","142737","-","4209 W. SHAMROCK LANE, UNIT A","MCHENRY","IL","60050","Network 10","67","64","64","0.0%"
"ARA - MECHANICSVILLE DIALYSIS","492603","-","8400 NORTH RUN MEDICAL DR","MECHANICSVILLE","VA","23116","Network 5","52","66","64","0.5%"
"ARA - MILWAUKEE","522565","-","MILWAUKEE DIALYSIS CENTER","MILWAUKEE","WI","53209","Network 11","41","66","64","1.0%"
"ARA - NAPLES DIALYSIS CENTER LLC","102844","-","4529 EXECUTIVE DRIVE","NAPLES","FL","34119","Network 7","46","57","64","1.0%"
"ARA - NAPLES SOUTH DIALYSIS CENTER LLC","102899","-","4270 TAMIAMI TRAIL EAST SUITE 1","NAPLES","FL","34112","Network 7","56","57","64","0.5%"
"ARA NORTH JACKSONVILLE","102877","-","1725 OAKHURST AVENUE SUITE 100","JACKSONVILLE","FL","32208","Network 7","39","57","64","1.0%"
"ARA SOUTH AUGUSTA CLINIC","112714","-","1649 GORDON HIGHWAY","AUGUSTA","GA","30906","Network 6","41","59","64","1.0%"
"ARA - SOUTH BARRINGTON DIALYSIS CENTER","142662","-","33 W HIGGINS ROAD, SUITES 920-945","SOUTH BARRINGTON","IL","60010","Network 10","78","64","64","0.0%"
"ARA South Jacksonville Dialysis Center","682731","-","12735 GRAN BAY PARKWAY W, STE 210","Jacksonville","FL","32258","Network 7","74","57","64","0.0%"
"ARA - UNIVERSITY KIDNEY CENTER 3RD STREET","182537","-","635 SOUTH 3RD STREET","LOUISVILLE","KY","40202","Network 9","43","68","64","1.0%"
"ARA - WEST JACKSONVILLE LLC","102794","-","425 N LEE STREET SUITE 103","JACKSONVILLE","FL","32204","Network 7","65","57","64","0.0%"
"ARC/CDC, LTD.","362612","-","3695 STUTZ DRIVE","CANFIELD","OH","44406","Network 9","30","61","64","1.5%"
"ARC Dialysis Hialeah","682705","-","3704 WEST 12TH  AVE","Hialeah","FL","33012","Network 7","28","57","64","1.5%"
"ARC Dialysis Kendall","682692","-","9835 SUNSET DR","Miami","FL","33173","Network 7","15","57","64","2.0%"
"ARC Dialysis Miami Lakes","682718","-","5600 NW 167TH ST","Miami Gardens","FL","33014","Network 7","10","57","64","2.0%"
"ARC Dialysis North Dade, LLC","682704","-","1986 OPA LOCKA BLVD","Opa Locka","FL","33054","Network 7","21","57","64","2.0%"
"ARC Dialysis Perrine","682682","-","22165 SOUTH DIXIE HWY","Miami","FL","33170","Network 7","18","57","64","2.0%"
"AR - Grapevine Kidney Center, LLC","672837","-","1270 WILLIAM D. TATE AVE","GRAPEVINE","TX","76051","Network 14","59","63","64","0.0%"
"ARKANSAS CHILDRENS HOSPITAL-DIALYSIS","042310","040117","1 CHILDRENS WAY-SLOT 204","LITTLE ROCK","AR","72202","Network 13","65","62","64","0.0%"
"ARLINGTON DIALYSIS CENTER","682545","-","7645 MERRILL RD #204","JACKSONVILLE","FL","32277","Network 7","65","57","64","0.0%"
"Arrowhead Dialysis, LLC","012619","-","1850 MCFARLAND BLVD NORTH STE B","TUSCALOOSA","AL","35406","Network 8","67","65","64","0.0%"
"Arrowhead Regional Medical Center","052334","050245","400 N. PEPPER AVENUE","Colton","CA","92324","Network 18","64","65","64","0.0%"
"ARTIFICIAL KIDNEY CENTER - SUFFOLK","492530","-","1005 COMMERCIAL LANE","SUFFOLK","VA","23434","Network 5","49","66","64","0.5%"
"ASPIRUS HOSP DIALYSIS CTR","523527","520030","3000 WESTHILL DR","WAUSAU","WI","54401","Network 11","63","66","64","0.0%"
"ASPIRUS KIDNEY CARE - MEDFORD","522343","521324","135 S GIBSON ST","MEDFORD","WI","54451","Network 11","59","66","64","0.0%"
"ASPIRUS LANGLADE HOSPITAL KIDNEY CARE","523529","521350","501 AURORA ST","ANTIGO","WI","54409","Network 11","79","66","64","0.0%"
"ASTORIA DIALYSIS CENTER","332652","-","34-01 35TH AVENUE","ASTORIA","NY","11106","Network 2","60","61","64","0.0%"
"ATHENS KIDNEY CENTER","112674","-","1440 NORTH CHASE STREET","ATHENS","GA","30601","Network 6","20","59","64","2.0%"
"ATHENS KIDNEY CENTER","852539","-","103 N. WASHINGTON AVE","EATONTON","GA","31024","Network 6","35","59","64","1.5%"
"Athens Renal Center, LLC","112886","-","2047 PRINCE AVENUE","ATHENS","GA","30606","Network 6","52","59","64","0.5%"
"ATLANTIC KIDNEY CENTERS LLC","102710","-","4700 CONGRESS AVE STE 106","WEST PALM BEACH","FL","33407","Network 7","37","57","64","1.0%"
"ATLANTIS GUAYAMA","402556","-","BO ALGARROBO","GUAYAMA","PR","00785","Network 3","51","59","64","0.5%"
"Atlantis Renal Centre of Aguadilla","402519","-","AVE SEVERIANO CUEVAS #500","Aguadilla","PR","00603","Network 3","72","59","64","0.0%"
"Atlantis Renal Centre of Caguas","402538","-","AVE LUIS MUNOZ MARIN/ESQ. GEORGETTI","CAGUAS","PR","00725","Network 3","58","59","64","0.0%"
"Atlantis Renal Centre of Carolina","402541","-","PASEO DEL PRADO SHOPPING CENTER","CAROLINA","PR","00987","Network 3","46","59","64","1.0%"
"Atlantis Renal Centre of Dorado","402548","-","PASEO DEL PLATA SHOPPING VILLAGE","DORADO","PR","00646","Network 3","54","59","64","0.5%"
"Atlantis Renal Centre of Fajardo","402521","-","410 AVE GENERAL VALERO STE 101","FAJARDO","PR","00738","Network 3","55","59","64","0.5%"
"Atlantis Renal Centre of Isabela","402537","-","2641 AVE MILITAR","ISABELA","PR","00662","Network 3","73","59","64","0.0%"
"Atlantis Renal Centre of Juncos","402547","-","BO CEIBA NORTE","JUNCOS","PR","00777","Network 3","37","59","64","1.0%"
"Atlantis Renal Centre of Lares","402535","-","ATLANTIS HEALTHCARE GROUP OF PR, INC.","LARES","PR","00669","Network 3","54","59","64","0.5%"
